family,instrument,test,p,direction,q_within_family,q_all_tests
B_pesaran_timmermann_skill,btc,h=4 PT=-0.476,0.6829628110484707,skill,0.9488332187218765,0.8573802197802198
C_brier_worse_than_coin,btc,h=4 t=3.981,0.0001,worse,0.00056,0.0005302325581395349
B_pesaran_timmermann_skill,btc,h=5 PT=-0.975,0.8352198700196897,skill,0.9488332187218765,0.9288521739130435
C_brier_worse_than_coin,btc,h=5 t=4.238,1e-06,worse,9.333333333333333e-06,6.3333333333333326e-06
B_pesaran_timmermann_skill,btc,h=6 PT=-0.666,0.7472944497992002,skill,0.9488332187218765,0.8828141686747029
C_brier_worse_than_coin,btc,h=6 t=4.459,1e-06,worse,9.333333333333333e-06,6.3333333333333326e-06
B_pesaran_timmermann_skill,btc,h=7 PT=-1.099,0.8641159670502805,skill,0.9488332187218765,0.9290614647887324
C_brier_worse_than_coin,btc,h=7 t=4.921,1e-06,worse,9.333333333333333e-06,6.3333333333333326e-06
D_shock_vs_calm_hit,btc,diff=-0.0294,0.1855,shock worse,0.24733333333333332,0.34797372371321866
E_pre_event_direction,btc,hit=0.3673 n=98,0.011175,below,0.0894,0.03490273972602739
F_continuation_7d,btc,mean=2.981% n=98,0.0029,continuation,0.0232,0.010839344262295082
G_headline_spike_direction,btc,hit=0.3895 n=95,0.039608,below,0.079216,0.11148918518518518
H_headline_spike_surprise,btc,MWU |s| spike > quiet,0.02256,larger surprise,0.02256,0.06768
A_direction_vs_half,spxl,h=1 hit=0.5275,0.005531,above,0.009385939393939394,0.01910709090909091
A_direction_vs_half,spxl,h=2 hit=0.5621,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spxl,h=3 hit=0.5581,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spxl,h=4 hit=0.5738,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spxl,h=5 hit=0.5764,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spxl,h=6 hit=0.5739,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spxl,h=7 hit=0.5935,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
B_pesaran_timmermann_skill,spxl,h=1 PT=-0.898,0.8154072252677511,skill,0.9488332187218765,0.920360630500234
C_brier_worse_than_coin,spxl,h=1 t=1.487,0.1371,worse,0.23265454545454545,0.28677798165137613
B_pesaran_timmermann_skill,spxl,h=2 PT=-0.96,0.8314723925331622,skill,0.9488332187218765,0.9288521739130435
C_brier_worse_than_coin,spxl,h=2 t=-0.341,0.7329,better,0.7874867924528302,0.8828141686747029
B_pesaran_timmermann_skill,spxl,h=3 PT=-1.658,0.9513412668142535,skill,0.9513412668142535,0.9814742481160624
C_brier_worse_than_coin,spxl,h=3 t=-0.198,0.8433,better,0.8745333333333334,0.9288521739130435
B_pesaran_timmermann_skill,spxl,h=4 PT=-1.645,0.9500150944608786,skill,0.9513412668142535,0.9814742481160624
C_brier_worse_than_coin,spxl,h=4 t=-0.718,0.4726,better,0.6199454545454546,0.6985715384615384
B_pesaran_timmermann_skill,spxl,h=5 PT=-0.413,0.6601966931311954,skill,0.9488332187218765,0.8552548070108668
C_brier_worse_than_coin,spxl,h=5 t=0.155,0.8765,worse,0.8924363636363636,0.933841121495327
B_pesaran_timmermann_skill,spxl,h=6 PT=-0.839,0.7992653451980882,skill,0.9488332187218765,0.91348884
C_brier_worse_than_coin,spxl,h=6 t=0.495,0.6205,worse,0.7239166666666668,0.8130689655172415
B_pesaran_timmermann_skill,spxl,h=7 PT=0.046,0.4816551249555021,skill,0.9488332187218765,0.6994736846487547
C_brier_worse_than_coin,spxl,h=7 t=0.069,0.9448,worse,0.9448,0.9814742481160624
D_shock_vs_calm_hit,spxl,diff=-0.2624,0.00025,shock worse,0.0005,0.00114
E_pre_event_direction,spxl,hit=0.3854 n=96,0.031548,below,0.126192,0.09221723076923076
F_continuation_7d,spxl,mean=-1.385% n=96,0.1817,reversal,0.24226666666666666,0.34797372371321866
A_direction_vs_half,spy,h=1 hit=0.5255,0.009951,above,0.015921599999999998,0.032411828571428575
A_direction_vs_half,spy,h=2 hit=0.5842,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spy,h=3 hit=0.5837,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spy,h=4 hit=0.6029,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spy,h=5 hit=0.6019,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spy,h=6 hit=0.5983,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
A_direction_vs_half,spy,h=7 hit=0.6117,1e-06,above,2.1538461538461538e-06,6.3333333333333326e-06
B_pesaran_timmermann_skill,spy,h=1 PT=-1.227,0.8900887045407648,skill,0.9513412668142535,0.9439080215595088
C_brier_worse_than_coin,spy,h=1 t=1.4,0.1615,worse,0.266,0.3279926413344065
B_pesaran_timmermann_skill,spy,h=2 PT=-0.296,0.6163849593019013,skill,0.9488332187218765,0.8130689655172415
C_brier_worse_than_coin,spy,h=2 t=-1.581,0.1139,better,0.202125,0.2546
B_pesaran_timmermann_skill,spy,h=3 PT=-1.037,0.850132071421072,skill,0.9488332187218765,0.9290614647887324
C_brier_worse_than_coin,spy,h=3 t=-0.711,0.477,better,0.6199454545454546,0.6985715384615384
B_pesaran_timmermann_skill,spy,h=4 PT=-0.648,0.7415075248597813,skill,0.9488332187218765,0.8828141686747029
C_brier_worse_than_coin,spy,h=4 t=-1.813,0.0699,better,0.15055384615384615,0.17436052173913041
